Show_ID,Titles,Categories,Date_Added,Ratings,Directors
s143,Freedom Writers,Movie,2021-09-01,PG-13,Richard LaGravenese
s144,Green Lantern,Movie,2021-09-01,PG-13,Martin Campbell
s145,House Party,Movie,2021-09-01,R,Reginald Hudlin
s146,House Party 2,Movie,2021-09-01,R,"George Jackson, Doug McHenry"
s147,House Party 3,Movie,2021-09-01,R,Eric Meza
s149,HQ Barbers,TV Show,2021-09-01,TV-14,Gerhard Mostert
s150,I Got the Hook Up,Movie,2021-09-01,R,Michael Martin
s151,In Too Deep,Movie,2021-09-01,R,Michael Rymer
s152,Initial D,Movie,2021-09-01,TV-14,"Andrew Lau Wai-keung, Alan Mak"
s153,Janoskians: Untold and Untrue,Movie,2021-09-01,TV-MA,Brett Weiner
s156,Labyrinth,Movie,2021-09-01,PG,Jim Henson
s157,Letters to Juliet,Movie,2021-09-01,PG,Gary Winick
s158,Level 16,Movie,2021-09-01,TV-14,Danishka Esterhazy
s159,Love Don't Cost a Thing,Movie,2021-09-01,PG-13,Troy Byer
s160,Love in a Puff,Movie,2021-09-01,TV-MA,Pang Ho-cheung
s162,Mars Attacks!,Movie,2021-09-01,PG-13,Tim Burton
s163,Marshall,Movie,2021-09-01,PG-13,Reginald Hudlin
s164,My Boss's Daughter,Movie,2021-09-01,R,David Zucker
s165,Mystery Men,Movie,2021-09-01,PG-13,Kinka Usher
s167,Once Upon a Time in America,Movie,2021-09-01,R,Sergio Leone
s168,Open Season 2,Movie,2021-09-01,PG,"Matthew O'Callaghan, Todd Wilderman"
s169,Osmosis Jones,Movie,2021-09-01,PG,"Bobby Farrelly, Peter Farrelly"
s170,Poseidon,Movie,2021-09-01,PG-13,Wolfgang Petersen
s171,Rhyme & Reason,Movie,2021-09-01,R,Peter Spirer
s172,Same Kind of Different as Me,Movie,2021-09-01,PG-13,Michael Carney
s173,School of Rock,Movie,2021-09-01,PG-13,Richard Linklater
s174,Snervous Tyler Oakley,Movie,2021-09-01,PG-13,Amy Rice
s175,Tears of the Sun,Movie,2021-09-01,R,Antoine Fuqua
s176,The Blue Lagoon,Movie,2021-09-01,R,Randal Kleiser
s177,The Golden Child,Movie,2021-09-01,PG-13,Michael Ritchie
s178,The Guns of Navarone,Movie,2021-09-01,TV-14,J. Lee Thompson
s179,The Interview,Movie,2021-09-01,R,"Evan Goldberg, Seth Rogen"
s180,The Nutty Professor,Movie,2021-09-01,PG-13,Tom Shadyac
s181,The Nutty Professor II: The Klumps,Movie,2021-09-01,PG-13,Peter Segal
s183,Welcome Home Roscoe Jenkins,Movie,2021-09-01,PG-13,Malcolm D. Lee
s184,In the Line of Fire,Movie,2021-08-31,R,Wolfgang Petersen
s186,Untold: Crime & Penalties,Movie,2021-08-31,TV-MA,"Chapman Way, Maclain Way"
s189,2 Alone in Paris,Movie,2021-08-28,TV-MA,"Ramzy Bedia, Éric Judor"
s191,Thimmarusu,Movie,2021-08-28,TV-14,Sharan Koppisetty
s192,Wind River,Movie,2021-08-28,R,Taylor Sheridan
s193,C Kkompany,Movie,2021-08-27,TV-14,Sachin Yardi
s196,EMI: Liya Hai To Chukana Padega,Movie,2021-08-27,TV-14,Saurabh Kabra
s197,He's All That,Movie,2021-08-27,TV-14,Mark Waters
s199,King of Boys: The Return of the King,TV Show,2021-08-27,TV-MA,Kemi Adetiba
s200,Koi Aap Sa,Movie,2021-08-27,TV-14,Partho Mitra
s201,Krishna Cottage,Movie,2021-08-27,TV-14,Santram Varma
s202,Kucch To Hai,Movie,2021-08-27,TV-14,"Anil V. Kumar, Anurag Basu"
s203,Kyaa Kool Hai Hum,Movie,2021-08-27,TV-MA,Sangeeth Sivan
