IDs,Titles,First_Name,Last_Name,Show_ID,Ratings,Categories,Date_Added
100231,Kyaa Kool Hai Hum,Sangeeth,Sivan,s203,TV-MA,Movie,2021-08-27
100232,Yamla Pagla Deewana 2,Sangeeth,Sivan,s8773,TV-14,Movie,2017-05-01
100233,Kyaa Kool Hain Hum 3,Umesh,Ghadge,s204,TV-MA,Movie,2021-08-27
100234,Kyo Kii... Main Jhuth Nahin Bolta,David,Dhawan,s206,TV-14,Movie,2021-08-27
100235,Chashme Baddoor,David,Dhawan,s2271,TV-14,Movie,2020-07-05
100236,Judwaa 2,David,Dhawan,s5010,TV-14,Movie,2018-03-01
100237,Chal Mere Bhai,David,Dhawan,s6441,TV-14,Movie,2019-12-31
100238,Chashme Buddoor,David,Dhawan,s6450,TV-PG,Movie,2017-05-01
100239,Haseena Maan Jaayegi,David,Dhawan,s6937,TV-PG,Movie,2018-03-01
100240,Judwaa,David,Dhawan,s7145,TV-14,Movie,2019-12-31
100241,Maine Pyaar Kyun Kiya,David,Dhawan,s7387,TV-14,Movie,2019-12-31
100242,Mujhse Shaadi Karogi,David,Dhawan,s7525,TV-PG,Movie,2019-12-31
100243,"LSD: Love, Sex Aur Dhokha",Dibakar,Banerjee,s207,TV-MA,Movie,2021-08-27
100244,Oye Lucky! Lucky Oye!,Dibakar,Banerjee,s4455,TV-14,Movie,2018-11-01
100245,Khosla Ka Ghosla,Dibakar,Banerjee,s7187,TV-14,Movie,2018-08-02
100246,Shanghai,Dibakar,Banerjee,s7996,TV-14,Movie,2018-03-01
100247,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva,Lakhia,s208,TV-14,Movie,2021-08-27
100248,Shootout at Lokhandwala,Apoorva,Lakhia,s216,TV-MA,Movie,2021-08-27
100249,Once Upon a Time in Mumbaai,Milan,Luthria,s209,TV-14,Movie,2021-08-27
100250,Once Upon a Time in Mumbai Dobaara!,Milan,Luthria,s210,TV-14,Movie,2021-08-27
100251,The Dirty Picture,Milan,Luthria,s218,TV-14,Movie,2021-08-27
100252,Taxi No. 9211,Milan,Luthria,s865,TV-14,Movie,2021-05-20
100253,Hattrick,Milan,Luthria,s4441,TV-14,Movie,2018-11-01
100254,Baadshaho,Milan,Luthria,s5215,TV-14,Movie,2017-10-16
100255,Ragini MMS,Pawan,Kripalani,s211,TV-MA,Movie,2021-08-27
100256,Ragini MMS 2,Bhushan,Patel,s212,TV-MA,Movie,2021-08-27
100257,SAS: Rise of the Black Swan,Magnus,Martens,s215,R,Movie,2021-08-27
100258,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua,Rofé,s222,TV-14,Movie,2021-08-25
100259,Clickbait,Brad,Anderson,s223,TV-MA,TV Show,2021-08-25
100260,The Machinist,Brad,Anderson,s358,R,Movie,2021-08-01
100261,Fractured,Brad,Anderson,s3430,TV-MA,Movie,2019-10-11
100262,Stonehearst Asylum,Brad,Anderson,s8096,PG-13,Movie,2017-09-08
100263,Really Love,Angel,Kristi Williams,s228,TV-MA,Movie,2021-08-25
100264,The November Man,Roger,Donaldson,s229,R,Movie,2021-08-25
100265,The Bank Job,Roger,Donaldson,s1360,R,Movie,2021-02-01
100266,Dante's Peak,Roger,Donaldson,s6563,PG-13,Movie,2019-09-01
100267,The Old Ways,Christopher,Alender,s230,TV-MA,Movie,2021-08-25
100268,The River Runner,Rush,Sturges,s231,TV-MA,Movie,2021-08-25
100269,The Water Man,David,Oyelowo,s232,PG,Movie,2021-08-25
100270,Count Me In,Mark,Lo,s234,TV-MA,Movie,2021-08-24
100271,Untold: Caitlyn Jenner,Crystal,Moselle,s236,TV-PG,Movie,2021-08-24
100272,Boomika,Rathindran,R Prasad,s237,TV-14,Movie,2021-08-23
100273,Boomika (Hindi),Rathindran,R Prasad,s238,TV-14,Movie,2021-08-23
100274,Boomika (Malayalam),Rathindran,R Prasad,s239,TV-14,Movie,2021-08-23
