Title_ID,Titles,Categories,Date_Added,Ratings,Description
tid54,Kate,Movie,2021-09-10,R,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
tid55,Omo Ghetto: the Saga,Movie,2021-09-10,TV-MA,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
tid56,Prey,Movie,2021-09-10,TV-MA,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
tid57,Blood Brothers: Malcolm X & Muhammad Ali,Movie,2021-09-09,PG-13,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
tid58,Paradise Hills,Movie,2021-09-09,TV-MA,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
tid59,The Women and the Murderer,Movie,2021-09-09,TV-14,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
tid60,JJ+E,Movie,2021-09-08,TV-MA,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
tid61,Show Dogs,Movie,2021-09-08,PG,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
tid62,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,2021-09-07,TV-MA,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
tid63,Untold: Breaking Point,Movie,2021-09-07,TV-MA,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
tid64,Countdown: Inspiration4 Mission to Space,TV Show,2021-09-06,TV-14,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
tid65,Shadow Parties,Movie,2021-09-06,TV-MA,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
tid66,Angamaly Diaries,Movie,2021-09-05,TV-14,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
tid67,A Champion Heart,Movie,2021-09-04,G,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
tid68,Money Heist: From Tokyo to Berlin,TV Show,2021-09-03,TV-MA,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
tid69,Worth,Movie,2021-09-03,PG-13,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
tid70,Afterlife of the Party,Movie,2021-09-02,TV-PG,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
tid71,Anjaam,Movie,2021-09-02,TV-14,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
tid72,Bright Star,Movie,2021-09-02,PG,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
tid73,Dhanak,Movie,2021-09-02,TV-PG,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
tid74,Final Account,Movie,2021-09-02,PG-13,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
tid75,Gurgaon,Movie,2021-09-02,TV-14,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
tid76,Here and There,Movie,2021-09-02,TV-MA,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
tid77,In the Cut,Movie,2021-09-02,R,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
tid78,Shikara,Movie,2021-09-02,TV-14,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
tid79,A Cinderella Story,Movie,2021-09-01,PG,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
tid80,Agatha Christie's Crooked House,Movie,2021-09-01,PG-13,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
tid81,An Unfinished Life,Movie,2021-09-01,PG-13,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
tid82,Barbie Big City Big Dreams,Movie,2021-09-01,TV-Y,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
tid83,Blade Runner: The Final Cut,Movie,2021-09-01,R,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
tid84,Chappie,Movie,2021-09-01,R,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
tid85,Clear and Present Danger,Movie,2021-09-01,PG-13,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
tid86,Cliffhanger,Movie,2021-09-01,R,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
tid87,Cold Mountain,Movie,2021-09-01,R,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
tid88,Crocodile Dundee in Los Angeles,Movie,2021-09-01,PG,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
tid89,Dear John,Movie,2021-09-01,PG-13,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
tid90,Do the Right Thing,Movie,2021-09-01,R,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
tid91,"El patrón, radiografía de un crimen",Movie,2021-09-01,TV-MA,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
tid92,Extraction,Movie,2021-09-01,R,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
tid93,Freedom Writers,Movie,2021-09-01,PG-13,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
tid94,Green Lantern,Movie,2021-09-01,PG-13,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
tid95,House Party,Movie,2021-09-01,R,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
tid96,House Party 2,Movie,2021-09-01,R,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
