Title_ID,Title,Type,Category,Date_Added,Rating,Description
tid604,LEGO Marvel Spider-Man: Vexed by Venom,Movie,"Children & Family Movies, Comedies",2021-03-01,TV-Y,"When Green Goblin and Venom team up for a disastrous scheme, Spider-Man calls in a wall-crawling ally and must rely on his Spidey senses to stop them."
tid605,Rain Man,Movie,"Classic Movies, Dramas",2021-03-01,R,"Motivated by money, a selfish workaholic seeking a piece of his late father's inheritance takes a life-changing road trip with his estranged brother."
tid606,Tenacious D in The Pick of Destiny,Movie,"Comedies, Cult Movies, Music & Musicals",2021-03-01,R,"Dreaming of being a rock god, Midwesterner JB heads to California, where he crosses paths with idler KG – giving rise to the musical duo Tenacious D."
tid607,Bigfoot Family,Movie,"Children & Family Movies, Comedies",2021-02-26,TV-Y7,"Bigfoot’s now a big deal. So when he goes missing, his shy but tech-savvy teen son must take on an evil CEO to save his family and a wildlife preserve."
tid608,Captain Fantastic,Movie,"Comedies, Dramas, Independent Movies",2021-02-26,R,"A father raising his children off the grid begins to question his anti-establishment, utopian views when a tragic loss pulls them back into society."
tid609,Crazy About Her,Movie,"Comedies, International Movies, Romantic Movies",2021-02-26,TV-MA,"After spending a wild night together, Adri discovers the only way to see Carla again is to become a patient at the psychiatric center where she resides."
tid610,Fuga,Movie,"Dramas, Independent Movies, International Movies",2021-02-26,TV-MA,"A struggling music student discovers and tries to complete an unfinished symphony begun by a famous composer, whose career was ended by a past trauma."
tid611,No Escape,Movie,Action & Adventure,2021-02-26,R,"Soon after relocating to Southeast Asia, an American family lands in the midst of a violent coup that could cost them their lives."
tid612,Our Idiot Brother,Movie,"Comedies, Dramas, Independent Movies",2021-02-26,R,A seemingly clueless idealist relies on his exasperated sisters for shelter and support after his girlfriend dumps him and his dog is taken away.
tid613,The Girl on the Train,Movie,"International Movies, Thrillers",2021-02-26,TV-MA,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.
tid614,Tony Manero,Movie,"Dramas, Independent Movies, International Movies",2021-02-26,TV-MA,"Amid the violence of Pinochet's reign in 1978 Chile, emotionally dead Raúl finds escape in his obsession over the protagonist in ""Saturday Night Fever."""
tid615,Who Am I,Movie,"International Movies, Thrillers",2021-02-26,TV-MA,"After his compatriots are murdered by Russian gangsters, a hacker confesses the history of his elite, fame-seeking group to a Europol investigator."
tid616,Geez & Ann,Movie,"Dramas, International Movies, Romantic Movies",2021-02-25,TV-PG,"After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache and deception as their romance struggles."
