Show_ID,Title_ID,Title,Type
s963,tid438,The Strangers: Prey at Night,Movie
s967,tid439,Get the Grift,Movie
s970,tid440,August: Osage County,Movie
s971,tid441,Battle: Los Angeles,Movie
s972,tid442,Between Worlds,Movie
s974,tid443,One,Movie
s975,tid444,Ram Prasad Ki Tehrvi,Movie
s977,tid445,Among Family,Movie
s978,tid446,Dedemin Fisi,Movie
s979,tid447,Deliha,Movie
s980,tid448,Düğün Dernek,Movie
s981,tid449,Dügün Dernek 2: Sünnet,Movie
s982,tid450,G.O.R.A,Movie
s983,tid451,Hayat Öpücügü,Movie
s984,tid452,Heroes: Silence and Rock & Roll,Movie
s985,tid453,Kara Bela,Movie
s986,tid454,Kocan Kadar Konus,Movie
s987,tid455,Kocan Kadar Konus 2: Dirilis,Movie
s989,tid456,Let's Fight Ghost,TV Show
s990,tid457,My Travel Buddy,Movie
s991,tid458,Niyazi Gül Dörtnala,Movie
s992,tid459,One Like It,Movie
s995,tid460,This Lady Called Life,Movie
s996,tid461,Vizontele,Movie
s997,tid462,HOMUNCULUS,Movie
s1000,tid463,Stowaway,Movie
s1002,tid464,Oloibiri,Movie
s1003,tid465,Tell Me When,Movie
s1014,tid466,Miss Sloane,Movie
s1016,tid467,American Me,Movie
s1017,tid468,Delhi Belly,Movie
s1018,tid469,Dhobi Ghat (Mumbai Diaries),Movie
s1019,tid470,Jaane Tu... Ya Jaane Na,Movie
s1020,tid471,Lagaan,Movie
s1021,tid472,Madness in the Desert,Movie
s1022,tid473,Peepli Live,Movie
s1023,tid474,Taare Zameen Par,Movie
s1024,tid475,Ajeeb Daastaans,Movie
s1025,tid476,Arlo the Alligator Boy,Movie
s1027,tid477,Barbie & Chelsea: The Lost Birthday,Movie
s1028,tid478,Crimson Peak,Movie
s1030,tid479,Doctor Bello,Movie
s1031,tid480,Four Sisters Before the Wedding,Movie
s1032,tid481,Into the Beat,Movie
s1034,tid482,Rush,Movie
s1035,tid483,Synchronic,Movie
s1036,tid484,The Zookeeper's Wife,Movie
s1037,tid485,Time Trap,Movie
s1038,tid486,Tuesdays & Fridays,Movie
s1040,tid487,Dark City Beneath the Beat,Movie
s1042,tid488,GANTZ:O,Movie
s1043,tid489,Garth Brooks: The Road I’m On,TV Show
s1047,tid490,Only Mine,Movie
s1051,tid491,Ride or Die,Movie
s1053,tid492,The Master,Movie
s1054,tid493,Time Is Illmatic,Movie
s1056,tid494,Zoot Suit,Movie
s1067,tid495,The Soul,Movie
s1068,tid496,The Underclass,TV Show
s1070,tid497,Uppena,Movie
s1081,tid498,New Gods: Nezha Reborn,Movie
s1084,tid499,The Stand-In,Movie
s1086,tid500,Night in Paradise,Movie
s1087,tid501,Ojukokoro: Greed,Movie
s1088,tid502,Roohi,Movie
s1089,tid503,Thunder Force,Movie
s1090,tid504,Two Distant Strangers,Movie
s1091,tid505,Story of Kale: When Someone's in Love,Movie
s1099,tid506,Mandela,Movie
s1100,tid507,The Fisherman's Diary,Movie
s1101,tid508,What Lies Below,Movie
